Name,Location,Category,Bio URL,Latitude,Longitude
Aditi Rajnish,"Toronto, Canada",Machine Learning Builder since 2023,https://www.linkedin.com/in/aditirajnish,43.6534817,-79.3839347
Aditya Krishnakumar,India,Dev Tools Builder since 2021,https://beingadityak.com,22.3511148,78.6677428
Aditya Kristianto,"Jakarta, Indonesia",Dev Tools Builder since 2023,No URL,-6.1817,106.8207194
Aditya Nama,India,Security Builder since 2023,https://adiintify.com,22.3511148,78.6677428
Adnan Al Hakim,"Bogor, Indonesia",Containers Builder since 2022,https://www.linkedin.com/in/adnanhakiim/,-6.5962986,106.7972421
Adrian Mudzwiti,South Africa,Serverless Builder since 2021,https://linktr.ee/adrianm10,-28.8166236,24.991639
Adrian Pozueco Alons,"Asturias, Spain",Serverless Builder since 2024,https://www.linkedin.com/in/adrian-pozueco-ba576a52/,43.3133868,-5.94192
Adriana Di Avila,"CDMX, México",Machine Learning Builder since 2024,https://www.linkedin.com/in/adriana-di-avila,19.4326296,-99.1331785
Adrien Mornet,France,Containers Builder since 2023,https://adrien-mornet.tech,46.603354,1.8883335
Adrián Mezei,"Budapest, Hungary",Serverless Builder since 2023,https://www.linkedin.com/in/adrian-mezei/,47.4813896,19.1460941
Afif Akbar Iskandar,"Indonesia, Indonesia",Machine Learning Builder since 2022,https://linkedin.com/in/afifai,-2.4833826,117.8902853
Ahmad Abou Kanj,"Paris, France",Cloud Operations Builder since 2022,https://www.linkedin.com/in/ahmadkanj/,48.8534951,2.3483915
Ahmad Mustafa Anis,"Islamabad, Pakistan",Machine Learning Builder since 2022,https://medium.com/@ahmadanis5050,33.6938118,73.0651511
Ahmed Abdelazeem Adam,"Cairo, Egypt",Machine Learning Builder since 2021,https://www.linkedin.com/in/aadam80,30.0443879,31.2357257
Ahmed Adel El-Adl,Egypt,Front-End Web & Mobile Builder since 2021,https://www.linkedin.com/in/ahmedadel333/,26.2540493,29.2675469
Ahmed El-Demasy,Egypt,Serverless Builder since 2022,https://www.linkedin.com/in/demasy,26.2540493,29.2675469
Ahmed Eltaweel,"Cairo, Egypt",Machine Learning Builder since 2022,https://www.linkedin.com/in/ahmed-eltaweel-5b53a38b,30.0443879,31.2357257
Ahmed Hussein Bin Shehab,United Arab Emirates,Containers Builder since 2022,No URL,24.0002488,53.9994829
Ahmed Kadhom,"Maysan, Iraq",Security Builder since 2023,https://www.linkedin.com/in/ahmedkadhom313/,32.5224817,46.5076723
Ahmed Magdy Abdel Basset Ali,Egypt,Data Builder since 2023,https://www.linkedin.com/in/ahmed-magdy-84b030144/,26.2540493,29.2675469
Ahmed Metwally,Egypt,Containers Builder since 2022,https://www.linkedin.com/in/metwally/,26.2540493,29.2675469
Ahmed Mohamed,"London, United Kingdom",Serverless Builder since 2021,https://www.me2resh.com/,51.4893335,-0.1440551
Ahmed Salem,"Abu Dhabi, United Arab Emirates",Cloud Operations Builder since 2023,https://www.linkedin.com/in/ahmed-salem-54406976/,24.4538352,54.3774014
Ahmed Shendy,"New Cairo, Egypt",Networking & Content Delivery Builder since 2020,https://www.linkedin.com/in/ahmed-shendy/,30.0277688,31.4756825
Ahmed Srebrenica,"Zenica, Bosnia–Herzegovina",Containers Builder since 2024,https://www.ahmedsrebrenica.com/,44.199828,17.9093012
Ahmed Tarek,"Cairo, Egypt",Machine Learning Builder since 2022,https://www.linkedin.com/in/ahmed-tarek-4135251b3/,30.0443879,31.2357257
Ahmed Womiloju,"Lagos, Nigeria",Data Builder since 2023,https://www.linkedin.com/in/womiloju-ahmed-69715782,6.4550575,3.3941795
