Name,Location,Category,Bio URL,Latitude,Longitude
Dmytro Hlotenko,"Vienna, Austria",Cloud Operations Builder since 2024,https://www.linkedin.com/in/dmytro-hlotenko-7aa348151/,48.2083537,16.3725042
Lydia Delyova,"Kosice, Slovakia",Network Content & Delivery Builder since 2024,https://www.linkedin.com/in/lydia-delyova-26905216a/,48.7172272,21.2496774
Michal Salanci,"Kosice, Slovakia",Containers Builder since 2023,https://www.linkedin.com/in/michal-salanci-3496724b/,48.7172272,21.2496774
Suzana Melo Moraes,"Auckland, New Zealand",Dev Tools Builder since 2023,https://www.linkedin.com/in/suzanamelomoraes/,-36.852095,174.7631803
