Name,Location,URL,Category,Latitude,Longitude,Platform,Members,Image URL
AWS User Group Timisoara,"Timisoara, Romania",https://www.meetup.com/aws-timisoara,General AWS User Groups,45.7538355,21.2257474,meetup,553.0,https://secure.meetupstatic.com/photos/event/8/9/a/8/600_513815240.jpeg
IASI AWS User Group,"Iasi, Romania",https://www.meetup.com/aws-ro/,General AWS User Groups,47.1615598,27.5837814,meetup,591.0,https://secure.meetupstatic.com/photos/event/e/0/e/600_510303598.jpeg
User Group Tulsa,"Tulsa, OK",https://www.meetup.com/tulsa-aws/,General AWS User Groups,36.1563122,-95.9927516,meetup,163.0,https://secure.meetupstatic.com/photos/event/5/0/d/1/600_523520689.jpeg
AWS Abidjan User Group,"Abidjan, Ivory Coast",https://www.meetup.com/groupe-meetup-abidjan-amazon-web-services/,General AWS User Groups,5.320357,-4.016107,meetup,441.0,https://secure.meetupstatic.com/photos/event/4/f/8/e/600_513740366.jpeg
AWS Vienna,"Vienna, Austria",https://www.meetup.com/Amazon-Web-Services-AWS-Vienna/,General AWS User Groups,48.2083537,16.3725042,meetup,2009,https://secure.meetupstatic.com/photos/event/9/8/d/5/600_523779125.jpeg
AWS Women's User Group Berlin,"Berlin, Germany",https://www.meetup.com/berlin-amazon-web-services-meetup-group/,General AWS User Groups,52.510885,13.3989367,meetup,734.0,https://secure.meetupstatic.com/photos/event/6/3/6/0/600_515305440.jpeg
