Name,AWS Community Programs,Bio URL,Formula,Category,Category 1,Since Date,Formula 1,Date Created,Date Updated,Description,Image URL,Location,Recording date,Status,Tags
Michael Walmsley,AWS Heroes (https://www.notion.so/AWS-Heroes-16181018ea03801b852dcfe37a62ef04?pvs=21),https://aws.amazon.com/developer/community/heroes/michael-walmsley/?did=dh_card&trk=dh_card,,AWS Serverless Hero,,Hero since 2023,,"June 6, 2023 11:07 PM (GMT+2)","November 6, 2024 7:12 PM (GMT+1)","<p>Michael is a Lead Technology Architect in the myWizard ...</p>

<p><a href=""https://aws.amazon.com/developer/community/heroes/michael-walmsley/?did=dh_card-body&amp;trk=dh_card-body"" rel=""noopener"" target=""_blank"">Learn more &raquo;</a></p>
",https://d1.awsstatic.com/getting-started-guides/new-heros-nov-2022/2023/june-2023/walmsley-headshot-modified.8f5ed41d85c0db56f58d9f160018482dcceec8ee.png,"Melbourne, Australia",,Next up,Australia|Meetup Organizer|2023|Asia Pacific|apac|Australia & New Zealand|Conference Speaker|AWS Serverless Hero
Mike Fiedler,AWS Heroes (https://www.notion.so/AWS-Heroes-16181018ea03801b852dcfe37a62ef04?pvs=21),https://aws.amazon.com/developer/community/heroes/mike-fiedler/?did=dh_card&trk=dh_card,,AWS Container Hero,,Hero since 2018,,"February 19, 2019 8:53 PM (GMT+1)","November 6, 2024 7:12 PM (GMT+1)","<p>Mike is over two decades into this mess called ""work"", and has worked with a staggering...</p><p><a href=""https://aws.amazon.com/developer/community/heroes/mike-fiedler/?did=dh_card-body&trk=dh_card-body"" target=""_blank"" rel=""noopener"">Learn more »</a></p>",https://d1.awsstatic.com/Developer%20Marketing/developer-center/mikef-headshotcircle-100px.90e7ea499e49569e48cd2c9d34a4ce411fa37a7c.png,"New York, USA",,Next up,AWS Container Hero|North America|Trainer / Educator|Americas|2018|Open Source Contributor|Conference Speaker
Monica Colangelo,AWS Heroes (https://www.notion.so/AWS-Heroes-16181018ea03801b852dcfe37a62ef04?pvs=21),https://aws.amazon.com/developer/community/heroes/monica-colangelo/?did=dh_card&trk=dh_card,,AWS DevTools Hero,,Hero since 2023,,"August 31, 2023 8:55 PM (GMT+2)","November 6, 2024 7:12 PM (GMT+1)","<p>Monica Colangelo is a Principal Cloud Architect based in Milan, Italy. She has a 15-year ...</p>

<p><a href=""https://aws.amazon.com/developer/community/heroes/monica-colangelo/?did=dh_card-body&amp;trk=dh_card-body"" rel=""noopener"" target=""_blank"">Learn more &raquo;</a></p>
",https://d1.awsstatic.com/getting-started-guides/new-heroes-2023/hero-sept-2023/Monica%20Colangelo_100.ad947dfe121c24ec7ce39375c89bd9a083efadd7.png,"Milan, Italy",,Next up,"Italy|2023|AWS DevTools Hero|Europe, Middle East, & Africa|2023|emea|Blogger"
Nana Janashia,AWS Heroes (https://www.notion.so/AWS-Heroes-16181018ea03801b852dcfe37a62ef04?pvs=21),https://aws.amazon.com/developer/community/heroes/nana-janashia/?did=dh_card&trk=dh_card,,AWS Container Hero,,Hero since 2021,,"March 11, 2021 9:34 PM (GMT+1)","November 6, 2024 7:12 PM (GMT+1)","<p>Nana Janashia is a DevOps consultant and trainer. She started the ‘Techworld with Nana’…</p><p><a href=""https://aws.amazon.com/developer/community/heroes/nana-janashia/?did=dh_card-body&trk=dh_card-body"" target=""_blank"" rel=""noopener"">Learn more »</a></p>",https://d1.awsstatic.com/Developer%20Marketing/developer-center/nana-janashia.bacc9c80641e9d8feba01d09a34eb59561114b3e.png,"Vienna, Austria",,Next up,"AWS Container Hero|2021|Trainer / Educator|Europe, Middle East, & Africa|Technical Author|Blogger|Conference Speaker"
Nick Triantafillou,AWS Heroes (https://www.notion.so/AWS-Heroes-16181018ea03801b852dcfe37a62ef04?pvs=21),https://aws.amazon.com/developer/community/heroes/nick-triantafillou/?did=dh_card&trk=dh_card,,AWS Community Hero,,Hero since 2023,,"August 31, 2023 8:49 PM (GMT+2)","November 6, 2024 7:12 PM (GMT+1)","<p>Nick is a Cloud Engineer, Educator, User Group founder, and Christmas Light enthusiast ...</p>

<p><a href=""https://aws.amazon.com/developer/community/heroes/nick-triantafillou/?did=dh_card-body&amp;trk=dh_card-body"" rel=""noopener"" target=""_blank"">Learn more &raquo;</a></p>
",https://d1.awsstatic.com/getting-started-guides/new-heroes-2023/hero-sept-2023/NicolasT_100.805eab7a76bb2db5ecd0b9835bf5ef8bfafce93b.png,"New South Wales, Australia",,Next up,Australia|2023|AWS Community Hero|2023|Asia Pacific|apac|Blogger
Nilesh Vaghela,AWS Heroes (https://www.notion.so/AWS-Heroes-16181018ea03801b852dcfe37a62ef04?pvs=21),https://aws.amazon.com/developer/community/heroes/nilesh-vaghela/?did=dh_card&trk=dh_card,,AWS Community Hero,,Hero since 2017,,"February 19, 2019 8:53 PM (GMT+1)","November 6, 2024 7:12 PM (GMT+1)","<p>Nilesh is the founder of ElectroMech Corporation, an AWS Cloud and open source focused...</p><p><a href=""https://aws.amazon.com/developer/community/heroes/nilesh-vaghela/?did=dh_card-body&trk=dh_card-body"" target=""_blank"" rel=""noopener"">Learn more »</a></p>",https://d1.awsstatic.com/Developer%20Marketing/developer-center/nileshv-headshotcircle-100px.84648b4605d571bdd44c1e327b75164fb7a8a32d.png,"Ahmedabad, India",,Next up,Meetup Organizer|2017|Trainer / Educator|Asia Pacific|AWS Community Hero|Open Source Contributor|Conference Speaker
Paweł Zubkiewicz,AWS Heroes (https://www.notion.so/AWS-Heroes-16181018ea03801b852dcfe37a62ef04?pvs=21),https://aws.amazon.com/developer/community/heroes/pawel-zubkiewicz/?did=dh_card&trk=dh_card,,AWS Serverless Hero,,Hero since 2022,,"November 13, 2022 10:36 PM (GMT+1)","November 6, 2024 7:12 PM (GMT+1)","<p>Since his first encounters with AWS cloud in 2016, Paweł has been fascinated by serverless solutions...&nbsp;</p>

<p><a href=""https://aws.amazon.com/developer/community/heroes/pawel-zubkiewicz/?did=dh_card-body&amp;trk=dh_card-body"" rel=""noopener"" target=""_blank"">Learn more &raquo;</a></p>
",https://d1.awsstatic.com/getting-started-guides/new-heros-nov-2022/pawe%c5%82_zubkiewicz-modified.79bfbe98c1d0ff041035aa52231e11602204800b.png,"Wroclaw, Poland",,Next up,"Europe, Middle East, & Africa|Trainer / Educator|Blogger|Technical Author|2022|AWS Serverless Hero"
Philipp Garbe,AWS Heroes (https://www.notion.so/AWS-Heroes-16181018ea03801b852dcfe37a62ef04?pvs=21),https://aws.amazon.com/developer/community/heroes/philipp-garbe/?did=dh_card&trk=dh_card,,AWS Container Hero,,Hero since 2018,,"February 19, 2019 8:52 PM (GMT+1)","November 6, 2024 7:12 PM (GMT+1)","<p>Philipp works as a Lead Platform Engineer at Personio in Munich. As part of the…</p><p><a href=""https://aws.amazon.com/developer/community/heroes/philipp-garbe/?did=dh_card-body&trk=dh_card-body"" target=""_blank"" rel=""noopener"">Learn more »</a></p>",https://d1.awsstatic.com/getting-started-guides/new-heros-nov-2022/2023/Philipp%20Garbe-modified.33cecea45a079146e6467872a4886f41d3653e7f.png,"Munich, Germany",,Next up,"AWS Container Hero|Europe, Middle East, & Africa|Blogger|2018|Technical Author|Conference Speaker"
Philipp Schmid,AWS Heroes (https://www.notion.so/AWS-Heroes-16181018ea03801b852dcfe37a62ef04?pvs=21),https://aws.amazon.com/developer/community/heroes/philipp-schmid/?did=dh_card&trk=dh_card,,AWS Machine Learning Hero,,Hero since 2021,,"June 3, 2021 8:06 PM (GMT+2)","November 6, 2024 7:12 PM (GMT+1)","<p>Philipp Schmid is a Machine Learning & Tech Lead at Hugging Face, working to democratize artificial…</p><p><a href=""https://aws.amazon.com/developer/community/heroes/philipp-schmid/?did=dh_card-body&trk=dh_card-body"" target=""_blank"" rel=""noopener"">Learn more »</a></p>",https://d1.awsstatic.com/Developer%20Marketing/developer-center/phillip-schmid.c94b913a0cb75c10e70a5372c90f6e6b16326eac.png,"Nuremberg, Germany",,Next up,"2021|Trainer / Educator|Europe, Middle East, & Africa|Open Source Contributor|Technical Author|Blogger|AWS Machine Learning Hero"
Prashanth HN,AWS Heroes (https://www.notion.so/AWS-Heroes-16181018ea03801b852dcfe37a62ef04?pvs=21),https://aws.amazon.com/developer/community/heroes/prashanth-hn/?did=dh_card&trk=dh_card,,AWS Serverless Hero,,Hero since 2019,,"September 5, 2019 5:04 AM (GMT+2)","November 6, 2024 7:12 PM (GMT+1)","<p>Prashanth is the Co-Founder & CTO at AntStack.io and one of the community leaders of the...</p><p><a href=""https://aws.amazon.com/developer/community/heroes/prashanth-hn/?did=dh_card-body&trk=dh_card-body"" target=""_blank"" rel=""noopener"">Learn more »</a></p>",https://d1.awsstatic.com/Developer%20Marketing/Community%20Heroes/prashanthhn-headshotcircle-100px.70fe28688278c94f3aacc629b82db95476658f54.png,"Bengaluru, India",,Next up,Meetup Organizer|Asia Pacific|2019|Blogger|AWS Serverless Hero|Conference Speaker
Ran Isenberg,AWS Heroes (https://www.notion.so/AWS-Heroes-16181018ea03801b852dcfe37a62ef04?pvs=21),https://aws.amazon.com/developer/community/heroes/ran-isenberg/?did=dh_card&trk=dh_card,,AWS Serverless Hero,,Hero since 2023,,"June 2, 2023 11:38 PM (GMT+2)","November 6, 2024 7:12 PM (GMT+1)","<p>Ran Isenberg is a principal software architect at CyberArk, where he designs and builds serverless services.</p>

<p><a href=""https://aws.amazon.com/developer/community/heroes/ran-isenberg/?did=dh_card-body&amp;trk=dh_card-body"" rel=""noopener"" target=""_blank"">Learn more &raquo;</a></p>
",https://d1.awsstatic.com/getting-started-guides/new-heros-nov-2022/2023/june-2023/ran_isenberg-modified.248c17279b35467cf44547f27d46fc55ea0389e0.png,"  Kfar Saba, Israel",,Next up,"Meetup Organizer|2023|Europe, Middle East, & Africa|emea|Serverless|Open Source Contributor|Serverless|AWS Serverless Hero|Conference Speaker|Open Source|Israel"
Richard Fan,AWS Heroes (https://www.notion.so/AWS-Heroes-16181018ea03801b852dcfe37a62ef04?pvs=21),https://aws.amazon.com/developer/community/heroes/richard-fan/?did=dh_card&trk=dh_card,,AWS Security Hero,,Hero since 2023,,"November 10, 2023 6:20 PM (GMT+1)","November 6, 2024 7:12 PM (GMT+1)","<p>Richard is a Security Engineer at ExpressVPN. He is dedicated to helping people easily adopt AWS, and ...</p>

<p><a href=""https://aws.amazon.com/developer/community/heroes/richard-fan/?did=dh_card-body&amp;trk=dh_card-body"" rel=""noopener"" target=""_blank"">Learn more &raquo;</a></p>
",https://d1.awsstatic.com/getting-started-guides/new-heroes-2023/nov/Richard-fan-100.0f770d5298d5db44ba710badf8cf55d5c089ea7d.png,Hong Kong,,Next up,2023|2023|AWS Security Hero|Asia Pacific|Blogger|Hong Kong|Conference Speaker|Asia Pacific (Hong Kong)
